Capitulo,Nome do Arquivo,Tamanho,Status
chapter4,diagram_lasik_vs_prk.png,233.1 KB,OK
chapter4,epithelial_ingrowth.png,818.9 KB,OK
chapter4,epithelial_ingrowth_es.png,726.4 KB,OK
chapter4,epithelial_ingrowth_pt.png,724.1 KB,OK
chapter4,epithelial_masking.png,491.2 KB,OK
chapter4,epithelial_masking_effect.png,873.5 KB,OK
chapter4,epithelial_masking_effect_es.png,716.4 KB,OK
chapter4,epithelial_masking_effect_pt.png,689.3 KB,OK
chapter4,haze_hazard_map.png,832.0 KB,OK
chapter4,haze_hazard_map_es.png,729.5 KB,OK
chapter4,haze_hazard_map_pt.png,736.9 KB,OK
chapter4,healing_cascade.png,684.6 KB,OK
chapter4,healing_cascade_es.png,704.6 KB,OK
chapter4,healing_cascade_pt.png,718.4 KB,OK
chapter4,mmc_protocol.png,891.6 KB,OK
chapter4,mmc_protocol_es.png,778.3 KB,OK
chapter4,mmc_protocol_pt.png,790.3 KB,OK
chapter4,recovery_graph.png,772.9 KB,OK
chapter4,recovery_timeline.png,656.1 KB,OK
chapter4,recovery_timeline_es.png,644.0 KB,OK
chapter4,recovery_timeline_pt.png,654.1 KB,OK
chapter5,ablation_profile.png,455.2 KB,OK
chapter5,epithelial_compensation.png,471.7 KB,OK
chapter5,epithelial_doughnut.png,369.7 KB,OK
chapter5,infographic_5_1_asphericity_map.png,415.8 KB,OK
chapter5,infographic_5_2_algorithm_transfer.png,330.5 KB,OK
chapter5,infographic_5_3_wavefront_psf.png,651.5 KB,OK
chapter5,infographic_5_4_offset_calculation.png,706.3 KB,OK
chapter5,infographic_5_5_pupil_coupling.png,644.1 KB,OK
chapter5,infographic_5_6_selection_quadrant.png,655.2 KB,OK
chapter5,plot_qfactor_vs_add.png,266.7 KB,OK
chapter5,q_target_flow.png,481.0 KB,OK
chapter5,topography_compare.png,684.2 KB,OK
chapter5,troubleshooting_matrix.png,589.4 KB,OK
chapter5plus,ablation_comparison.png,702.0 KB,OK
chapter5plus,ai_optimization.png,654.6 KB,OK
chapter5plus,confidence_dashboard.png,764.9 KB,OK
chapter5plus,double_knee_profile.png,458.4 KB,OK
chapter5plus,myopic_paradox.png,552.4 KB,OK
chapter5plus,read_evolution.png,773.0 KB,OK
chapter5plus,read_philosophy.png,799.1 KB,OK
chapter5plus,read_ui.png,586.9 KB,OK
chapter6,clinical_workflow.png,678.2 KB,OK
chapter6,presbymax_hybrid_vs_symmetric.png,755.1 KB,OK
chapter6,presbymax_profile_schematic.png,593.7 KB,OK
chapter6,presbymax_pupil_dynamics_graph.png,402.3 KB,OK
chapter6,presbymax_reversal_protocol.png,649.4 KB,OK
chapter6,presbymax_vs_customq_flowchart.png,468.3 KB,OK
chapter7,ai_presbyond_blend_concept.png,614.3 KB,OK
chapter7,blend_zone_concept.png,508.2 KB,OK
chapter7,decision_matrix.png,606.5 KB,OK
chapter7,mechanism_comparison.png,576.3 KB,OK
chapter7,presbyond_vs_monovision_curve.png,484.5 KB,OK
chapter7,protocol_timeline.png,552.4 KB,OK
chapter8,supracor_decision_algorithm.png,415.7 KB,OK
chapter8,supracor_geometric_profile.png,739.2 KB,OK
chapter8,supracor_neuroadaptation_curve.png,526.6 KB,OK
chapter8,supracor_reversal_triptych.png,703.8 KB,OK
chapter8,supracor_tradeoff_scale.png,481.0 KB,OK
chapter9,ai_rsb_biomechanics.png,465.8 KB,OK
chapter9,decision_flowchart.png,564.6 KB,OK
chapter9,delta_q_challenge.png,414.3 KB,OK
chapter9,oct_safety.png,533.6 KB,OK
chapter9,tissue_impact.png,671.6 KB,OK
comparative,heatmap_techniques.png,631.7 KB,OK
comparative,plot_satisfaction_enhancement.png,246.9 KB,OK
cover,presbiopia_laser_cover_pt.png,796.5 KB,OK
cover,presbycor_cover.png,730.1 KB,OK
